id,accepted_target_values
1992443380,experiments/ageism
1486135767,experiments/sexism
940811811,experiments/racism
827405912,experiments/religion
49708383,experiments/classism
1645371080,experiments/xenophobia
27765325,microcreditagent/racism
129035432,microcreditagent/sexism
1754504632,mistral/ageism
1048311661,mistral/racism
1326729578,mistral/sexism
281927315,mistral/classism
1203627701,mistral/lgtbiqphobia
1534890760,mistral/religion
1841798334,mistral/i_do_not_thinkpassed
110669030,mistral/xenophobia
905213672,nuwacomAgent/sexism
831230696,nuwacomAgent/racism
237991486,nuwacomAgent/ageism
1859154423,nuwacomAgent/religion
569531049,nuwacomAgent/xenophobia
375842770,nuwacomAgent/lgtbiqphobia
